Month,Temp_Min_C,Temp_Max_C,Temp_Avg_C,Rainfall_Total_mm,Rainfall_Seasonal_mm,Humidity_%,Solar_Radiation_MJ_m2_day,Sunshine_Hours_hh_mm,Wind_Speed_kmph,Evapotranspiration_mm_day,Dew_Point_C,Heat_Stress_Days,Frost_Days,Soil_Type,Soil_pH,EC,Organic_Carbon_%,Soil_Moisture_%,Sand_%,Silt_%,Clay_%,Soil_Depth_cm,Water_Holding_Capacity_%,Nitrogen_kg_per_acre,Phosphorus_kg_per_acre,Potassium_kg_per_acre,Zinc_mg_per_kg,Iron_mg_per_kg,Copper_mg_per_kg,Manganese_mg_per_kg,Sulfur_kg_per_acre,Irrigation_Frequency_Level,Water_Quantity_liters_per_acre,Irrigation_Method_Type,Groundwater_Level_meters,Water_Quality_Category,Planting_Date,Harvesting_Date,Crop_Duration_Days,Seed_Rate,Row_Spacing_cm,Row_Gap_cm,Plant_Density,Intercropping,Weed_Control,Soil_Condition_At_Planting,Planting_Method,Mulching,Fertilizer_Split,Drainage_Condition,Variety,Germination_%,Tillering_Count,Cane_Height_cm,Cane_Diameter_cm,Internode_Length_cm,Brix_Value,Disease_Type,Disease_Severity,Pest_Level,Pesticide_Usage,Fertilizer_Type,Fertilizer_Quantity,Application_Timing,Machinery_Use,Labor_Input,Latitude,Longitude,Altitude_m,State,District,Tehsil,Agro_Cluster,Khasra_No,Sugar_Mill,Region,Year,Season,Growth_Stage,Yield_Quintal_per_Acre
Jun,38.99490982504588,48.188837389516365,,1922.1042675764809,834.3312082754802,65.47783399701208,21.794692963772224,5:31,8.185399139502678,5.322126153644685,13.389806321498163,18.0,7.0,Clay,7.896514628195007,1.4958509107499334,1.4434904728546654,11.744533518123491,36.7057513778481,39.08574604770736,11.811286485579412,184.41158056005315,39.246455980137725,50.71295100633044,81.52787164951232,45.26870573322368,4.444376338833699,3.778100199136529,1.5851824260741214,3.7298769256348177,28.89539069054071,Low,1989.8225224978046,Flood,13.474395691031782,Saline,,2021-12-30 23:18:47,261.0,7.873170154508741,116.61942817495876,101.90045113182526,134205.54794252716,Yes,Manual,Dry,Paired Row,Yes,Split,Poor,CoJ64,84.45047567013671,8.0,160.44260891701057,4.067343066521133,22.088154847071856,24.173365293522025,Red Rot,High,Medium,,Urea,117.00508987968607,Late,Yes,32.146984534004304,30.09542317227984,78.19826759119333,294.18848927141727,,Haridwar,Khanpur,Narsan_Cluster,9673.0,,Uttarakhand,2022.0,Kharif,Late,102.49057417306675
Jan,6.243137147488762,15.6724028277994,10.079644047454511,1137.3836169367157,447.5536706327332,70.7518994998459,17.501875770748853,7:29,10.223435750339345,3.0921408910274604,12.330363671203177,7.0,8.0,Sandy,7.389669669196822,0.8030244632393919,0.3370146856308458,36.58996668688158,53.53558922447307,30.523653588327857,26.74187665530297,102.52830522642157,,165.78969213207873,26.69398551536089,85.03757262710242,3.595726234416627,4.931026144967029,1.597745279837767,2.1991552219798782,15.202881098605477,Medium,561.1600497336979,Flood,4.185754477109901,Good,2021-12-27 02:10:10,2022-04-10 05:14:49,255.0,8.518912834129953,80.26328046626429,93.33404964244173,64875.81692020088,No,Chemical,Dry,Straight Row,Yes,Split,Good,Co98014,67.34369189980265,24.0,284.33634629508356,4.577994624215274,21.953613451377812,20.48175989665932,Leaf Scald,High,,8.636375389076882,Urea,98.69414271274455,Late,No,13.214509920826401,29.970186691057414,78.28571800588827,271.35612812269824,Uttarakhand,Haridwar,Haridwar,Bahadrabad_Cluster,4485.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Rabi,Mid,65.4708958929055
Mar,18.0783332799353,26.521583404473716,21.157013181803023,1173.5597273828107,570.5762792560007,82.53849572538897,15.979309368208655,7:49,5.484312163707716,6.3779905857027295,22.0368997099685,3.0,5.0,Clay,7.4910015929071525,1.640301917096385,1.108245331788572,35.08006094494324,42.61999763422779,12.086340466318608,32.311793650686255,164.68847803099624,20.764406512130904,133.07657491644107,59.54658097964357,131.2109117959879,2.677841527467718,8.795294575483123,1.7361294697713388,1.8163832891693792,8.546558072619534,Medium,1735.2448529688515,Drip,13.804556335268023,Saline,2020-05-09 12:40:32,2023-10-11 22:36:37,288.0,8.293824845231853,106.49670561906177,76.86482148199083,52873.15439756928,Yes,Manual,Dry,Straight Row,No,Single,Good,CoJ64,99.94122051520947,11.0,292.84457537064566,4.346969895680145,19.376424681292065,21.62114640930254,Red Rot,Low,Medium,7.705494401489535,Organic,141.66881409818757,Late,No,42.55823857270587,29.83756693709026,78.20748146107283,349.8418979717858,Uttarakhand,Haridwar,Laksar,PiranKaliyar_Cluster,2901.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Rabi,Mid,311.49167601893737
Jan,6.025697990474378,17.3945336869636,12.677766754883342,1858.7234774234914,565.2383758151167,76.7932780918888,15.280326824695258,,,6.946695428814273,10.017522196360716,17.0,5.0,Loamy,7.455956531833427,0.6296372515934342,1.2030095941154906,33.01677166600875,24.958093050335282,25.655487996636012,28.064786179993444,136.47277514367224,48.34598327707502,,,110.53578428928387,1.4459663645806347,3.7194791586099436,1.1541433114259352,7.602083186274046,28.48940061346674,Low,688.8823618663948,Flood,10.636583380709133,Good,2023-01-29 05:44:36,2024-02-01 05:03:16,387.0,9.565148978303675,95.20586471868708,63.154907451895845,107694.79868376337,Yes,Manual,Moist,Trench,No,Split,Moderate,Co0238,60.96856754536586,11.0,195.8131353203847,2.3367980040715763,16.306199045953086,18.84767200078036,Leaf Scald,High,High,9.422006061250483,Organic,206.1306202566479,Mid,No,37.743127898915205,29.99722446843058,78.08807309833509,245.13027178640957,Uttarakhand,Haridwar,Haridwar,,8077.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Late,81.20086639485203
Nov,17.669520746031697,31.329067169160446,24.40539159872995,1607.7359627719452,823.8766426715748,78.24495791663293,23.54793149332506,7:31,14.76377757390606,3.630700922579253,12.082322104535487,23.0,2.0,Sandy,8.303021510926806,1.023453305644445,1.1886413096867892,26.374049853751476,22.666667185824032,24.066157209298304,21.26071417689777,193.34503410367472,21.615406179424212,158.62520702868636,30.591673470577092,71.10707826119298,3.424867211448495,3.1656871011764327,1.274001955113981,6.287839989543258,9.240810447670873,High,1729.704034599877,Sprinkler,10.14163784778295,Moderate,2020-06-23 03:32:14,2022-06-05 18:01:57,369.0,12.538933884749364,90.17626118325805,114.67149589728513,,Yes,Chemical,Wet,Straight Row,Yes,Split,Poor,CoJ64,,21.0,339.5634011301943,3.760943304989797,12.320000158861356,21.244407463119494,None,High,High,6.751316769610205,DAP,297.40706734501344,Mid,Yes,22.44480417435807,29.954327574446722,78.06948335730995,325.59110233048716,Uttarakhand,Haridwar,Bhagwanpur,Jwalapur_Cluster,635.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Kharif,Late,153.59179227238556
Jan,6.826335963203752,,12.291719512141622,1469.7697920835308,554.5601019827134,59.62846235491017,21.81603688408052,5:37,,7.242899753267924,17.088554379295438,16.0,4.0,Loamy,7.646756765524065,0.5131706184944246,0.4100756186240758,20.9119373022692,34.762691309708025,13.721169915133457,34.06710956120651,81.92487511123234,34.33673392839143,175.69834047769103,103.05112309634005,41.778799138942205,4.213238925581782,5.612603345955748,2.7003171541245194,1.2619906919752792,18.73929388459561,Low,539.278978760426,Sprinkler,6.829666900174729,Saline,2020-01-25 06:40:49,2022-07-14 19:32:42,336.0,7.287541522270502,114.89822223977092,149.0423723242236,133442.94712471458,Yes,,Wet,Trench,No,Single,Good,CoJ64,84.18956889815436,10.0,287.9457891907494,3.7888044503437057,21.792397889868084,23.940971696182118,Leaf Scald,Medium,Low,4.504360491025539,Urea,68.10945665715063,Early,Yes,,30.012134767442316,78.11787201663797,268.19207102148545,Uttarakhand,Haridwar,Haridwar,Dhanauri_Cluster,979.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Kharif,Late,346.58892915162403
Jun,40.685076219899315,48.25948636673611,43.740218462395,1753.2396781066814,450.7917558517647,87.93013141413206,20.37082368348597,7:54,10.396198051355979,5.5920920567696335,,27.0,8.0,Loamy,6.9032760389476895,2.4462890158610566,1.3730938861987267,15.326433071203702,38.65260876872752,38.80690176912145,38.94163219574345,118.38912885251753,38.73342980668296,199.0545441944679,33.274945058100045,126.55683027667794,4.396630908318135,4.0552441944334285,2.5691688922811173,3.0390841638668817,29.232753989427085,Medium,1190.9141358217607,Sprinkler,13.23361704392348,Moderate,2022-12-17 21:34:55,2024-12-22 09:35:58,357.0,7.383740029057857,94.21398951927972,78.34755302099747,128608.55131103168,No,Manual,Dry,Circular,Yes,Single,Moderate,Co98014,91.90998670892492,24.0,150.41815310831487,,22.58531689028688,20.074880870273333,Smut,High,Low,1.3492239809438478,Urea,284.0101173809752,Early,Yes,46.411183631294925,29.830067262074152,78.04166543755153,335.6595978021987,Uttarakhand,Haridwar,Laksar,Manglore_Cluster,8573.0,Uttam Sugar Mills Ltd,Uttarakhand,2019.0,Rabi,,285.0992224799526
May,34.821824666237085,46.06215409043786,40.23435262314765,1596.456998541763,678.1878846108923,62.63070236900682,25.98136860334094,6:33,,7.059807640101263,11.53410698146325,20.0,9.0,Clay,8.42848644962343,0.24919031834755848,1.1092089997332142,,31.46818917783621,26.959304382354624,11.818259185658661,196.3851075563902,36.363544237875786,89.26976842825525,54.04274204578696,94.25964659339382,4.5047974497683345,2.029611127714669,2.720094888678558,6.292243517636733,21.81523887714162,High,763.3951198647992,Flood,1.0722403401033556,,2023-01-08 01:34:02,2023-03-31 08:04:04,325.0,9.331527605506995,,81.01044262610192,145834.69250093738,No,Chemical,Wet,Paired Row,No,,Good,Co98014,66.51107998799436,5.0,181.49147204915897,4.958177585792699,23.826931920278888,17.03334860822848,Red Rot,Medium,Medium,7.843636214732869,DAP,119.48127568522267,Late,Yes,41.370150657037286,29.887058125614843,78.18333211223101,277.06141239480553,Uttarakhand,Haridwar,Khanpur,Bahadrabad_Cluster,5746.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Rabi,Mid,268.00693020040035
Mar,,27.48276921467789,20.0671039030406,1574.973056061449,876.0631484030837,69.4359292795528,27.938975556098303,8:35,14.223745302474773,5.129587757517607,13.805058763841362,20.0,1.0,Loamy,6.726218747985826,1.2162987010301305,,14.415542097975505,47.061219150362284,11.253717907305422,38.649776068545144,50.55963721671696,49.185840652639506,,78.76666541328815,58.90723020067456,4.567175481582911,8.071490043149991,0.4250315473400174,4.658369118140092,7.319467047029667,Medium,714.5954004210778,Drip,7.1696021819106885,Good,2020-11-15 13:07:48,2022-04-19 13:55:43,392.0,10.654259602102917,94.97697463892374,93.02165846416645,51531.853880824485,No,Chemical,Wet,Circular,No,Single,Good,Co98014,68.33423307000676,14.0,210.11218139131745,3.943354136232371,18.866389085722716,15.47597978207865,Red Rot,High,Medium,,DAP,209.6871850656663,Mid,Yes,20.946548882414724,29.995015244065524,78.00105070368515,247.98037825189957,Uttarakhand,Haridwar,Haridwar,Iqbalpur_Cluster,5741.0,Uttam Sugar Mills Ltd,Uttarakhand,2018.0,Kharif,Mid,236.11770734778804
Mar,,30.754369429482786,24.162627806879073,1679.2063640008023,563.3927641985293,74.13269787557759,24.625461845133017,9:45,12.6251752342324,7.208223678440957,23.524209150772098,18.0,0.0,Clay,8.03484176303259,2.363780472973516,1.2825940813084797,14.212044701558867,51.699773947938894,39.81205891038074,27.225211187303223,83.3464041034139,39.62811871721071,77.79790555827356,93.26306062421622,170.17724412404925,1.9772096620523878,,0.6125089103490398,,17.783370345329658,Medium,1183.5809243286703,Flood,18.70352317596013,Moderate,2020-03-24 07:22:55,2022-10-01 16:24:42,332.0,7.93139488844397,82.06769024003668,148.0307423434519,107061.35776911394,No,Manual,Moist,Circular,No,Split,Good,Co98014,97.64119933088556,13.0,239.65295423355937,2.596327576949271,10.929404751459584,19.019607381752994,Red Rot,Low,High,9.700373318755876,DAP,229.03257878468585,Late,Yes,29.60469883550628,29.85285281851968,78.24620887551158,,Uttarakhand,Haridwar,Bhagwanpur,Iqbalpur_Cluster,4469.0,Uttam Sugar Mills Ltd,Uttarakhand,2024.0,Kharif,Mid,236.0441221789503
