date,env_interaction_score,base_risk_score,monsoon_flag,humidity_streak_days,rainfall_streak_days,variety_susceptibility,crop_age_months,infected_sett_flag,susceptibility_factor,crop_stage_factor,infection_factor,final_risk_score,risk_level,early_warning,advisory_message
2005-01-29,0,0.17860714285714285,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07715828571428571,LOW,0,Low risk. Maintain standard crop management practices.
2005-01-30,0,0.17588571428571428,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07598262857142855,LOW,0,Low risk. Maintain standard crop management practices.
2005-01-31,0,0.17601071428571427,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07603662857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-01,0,0.17676785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07636371428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-02,0,0.17476428571428573,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07549817142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-03,0,0.17281785714285713,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07465731428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-04,0,0.1702642857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07355417142857142,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-05,0,0.16853928571428572,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07280897142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-06,0,0.1705785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07368994285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-07,0,0.17263928571428572,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07458017142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-08,0,0.17608214285714285,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0760674857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-09,0,0.18177500000000002,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0785268,LOW,0,Low risk. Maintain standard crop management practices.
