event_id,start,end,duration,max_bdl,near_outbreak,min_lead,category,month,season
0,2019-06-11,2019-06-25,15,0.8,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
1,2019-06-29,2019-06-29,1,0.7,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
2,2019-07-21,2019-07-21,1,0.7,False,999,BIO_PRECURSOR_ONLY,7,Monsoon
3,2019-08-05,2019-08-05,1,1.0,True,10,TRUE_HIT,8,Monsoon
4,2019-08-15,2019-08-15,1,0.8,True,0,TRUE_HIT,8,Monsoon
5,2019-09-04,2019-09-06,3,0.7,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
6,2019-10-22,2019-10-28,7,1.0,False,999,BIO_PRECURSOR_ONLY,10,Monsoon
7,2019-11-05,2019-11-08,4,0.8,False,999,BIO_PRECURSOR_ONLY,11,Post-Monsoon
8,2020-06-16,2020-06-24,9,1.0,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
9,2020-06-30,2020-07-03,4,0.7,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
10,2020-07-13,2020-07-16,4,1.0,False,999,BIO_PRECURSOR_ONLY,7,Monsoon
11,2020-07-27,2020-07-27,1,0.7,False,999,BIO_PRECURSOR_ONLY,7,Monsoon
12,2020-09-03,2020-09-09,7,1.0,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
13,2020-09-21,2020-09-23,3,0.7,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
14,2020-10-15,2020-10-17,3,1.0,False,999,BIO_PRECURSOR_ONLY,10,Monsoon
15,2021-05-18,2021-05-18,1,0.7,False,999,BIO_PRECURSOR_ONLY,5,Pre-Monsoon
16,2021-06-12,2021-06-15,4,0.7,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
17,2021-07-10,2021-07-16,7,1.0,False,999,BIO_PRECURSOR_ONLY,7,Monsoon
18,2021-08-06,2021-08-15,10,0.8,True,0,TRUE_HIT,8,Monsoon
19,2021-09-07,2021-09-08,2,0.7,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
20,2021-10-08,2021-10-08,1,0.7,False,999,BIO_PRECURSOR_ONLY,10,Monsoon
21,2021-11-23,2021-11-24,2,0.8,False,999,BIO_PRECURSOR_ONLY,11,Post-Monsoon
22,2022-06-07,2022-06-12,6,0.7,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
23,2022-06-25,2022-07-03,9,1.0,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
24,2022-08-05,2022-08-06,2,1.0,False,999,BIO_PRECURSOR_ONLY,8,Monsoon
25,2022-08-18,2022-08-25,8,0.8,False,999,BIO_PRECURSOR_ONLY,8,Monsoon
26,2022-09-09,2022-09-18,10,1.0,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
27,2023-06-23,2023-06-30,8,0.8,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
28,2023-09-11,2023-09-14,4,0.8,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
29,2023-09-25,2023-09-26,2,0.8,False,999,BIO_PRECURSOR_ONLY,9,Monsoon
30,2024-05-23,2024-05-31,9,0.8,False,999,BIO_PRECURSOR_ONLY,5,Pre-Monsoon
31,2024-06-23,2024-07-04,12,1.0,False,999,BIO_PRECURSOR_ONLY,6,Monsoon
32,2024-07-10,2024-07-17,8,1.0,False,999,BIO_PRECURSOR_ONLY,7,Monsoon
33,2024-08-19,2024-08-22,4,1.0,False,999,BIO_PRECURSOR_ONLY,8,Monsoon
34,2024-10-11,2024-10-21,11,1.0,False,999,BIO_PRECURSOR_ONLY,10,Monsoon
