date,risk_score,risk_band,alert
2005-01-30,4.7109625e-06,LOW,False
2005-01-31,4.658091e-06,LOW,False
2005-02-01,4.6229607e-06,LOW,False
2005-02-02,4.406644e-06,LOW,False
2005-02-03,4.5590605e-06,LOW,False
2005-02-04,4.6205764e-06,LOW,False
2005-02-05,4.6047358e-06,LOW,False
2005-02-06,4.4432268e-06,LOW,False
2005-02-07,4.4151793e-06,LOW,False
2005-02-08,4.350204e-06,LOW,False
2005-02-09,4.600715e-06,LOW,False
2005-02-10,4.774164e-06,LOW,False
2005-02-11,4.84077e-06,LOW,False
2005-02-12,4.9403143e-06,LOW,False
2005-02-13,4.8334673e-06,LOW,False
2005-02-14,5.1237116e-06,LOW,False
2005-02-15,5.545464e-06,LOW,False
2005-02-16,5.5147225e-06,LOW,False
2005-02-17,6.6007547e-06,LOW,False
2005-02-18,6.5479826e-06,LOW,False
2005-02-19,6.744346e-06,LOW,False
2005-02-20,6.901932e-06,LOW,False
2005-02-21,7.157767e-06,LOW,False
2005-02-22,6.549438e-06,LOW,False
2005-02-23,6.2784675e-06,LOW,False
2005-02-24,6.113629e-06,LOW,False
2005-02-25,5.61859e-06,LOW,False
2005-02-26,5.2241994e-06,LOW,False
2005-02-27,5.085769e-06,LOW,False
2005-02-28,4.9326263e-06,LOW,False
2005-03-01,4.903856e-06,LOW,False
2005-03-02,4.833583e-06,LOW,False
2005-03-03,4.8313154e-06,LOW,False
2005-03-04,4.7658577e-06,LOW,False
2005-03-05,4.785204e-06,LOW,False
2005-03-06,5.0194717e-06,LOW,False
2005-03-07,4.512039e-06,LOW,False
2005-03-08,4.4610424e-06,LOW,False
2005-03-09,5.306296e-06,LOW,False
2005-03-10,5.9432305e-06,LOW,False
2005-03-11,6.0832585e-06,LOW,False
2005-03-12,6.7409833e-06,LOW,False
2005-03-13,6.38122e-06,LOW,False
2005-03-14,6.2858007e-06,LOW,False
2005-03-15,6.0749508e-06,LOW,False
2005-03-16,6.039661e-06,LOW,False
2005-03-17,5.662209e-06,LOW,False
2005-03-18,5.548029e-06,LOW,False
2005-03-19,5.5439305e-06,LOW,False
2005-03-20,5.5749833e-06,LOW,False
2005-03-21,5.6162817e-06,LOW,False
2005-03-22,5.6627114e-06,LOW,False
2005-03-23,5.7842744e-06,LOW,False
2005-03-24,6.1017117e-06,LOW,False
2005-03-25,5.497216e-06,LOW,False
2005-03-26,5.7080824e-06,LOW,False
2005-03-27,5.7731418e-06,LOW,False
2005-03-28,6.7869173e-06,LOW,False
2005-03-29,7.121082e-06,LOW,False
2005-03-30,7.3221845e-06,LOW,False
2005-03-31,7.1722056e-06,LOW,False
2005-04-01,6.9811385e-06,LOW,False
2005-04-02,6.9204593e-06,LOW,False
2005-04-03,7.0097185e-06,LOW,False
2005-04-04,6.647318e-06,LOW,False
2005-04-05,6.6283274e-06,LOW,False
2005-04-06,6.6931884e-06,LOW,False
2005-04-07,6.6843477e-06,LOW,False
2005-04-08,6.8439836e-06,LOW,False
2005-04-09,7.456674e-06,LOW,False
2005-04-10,7.2131693e-06,LOW,False
2005-04-11,7.1434533e-06,LOW,False
2005-04-12,7.1151567e-06,LOW,False
2005-04-13,6.4862356e-06,LOW,False
2005-04-14,6.1191586e-06,LOW,False
2005-04-15,6.2442405e-06,LOW,False
2005-04-16,6.3603807e-06,LOW,False
2005-04-17,5.8539194e-06,LOW,False
2005-04-18,5.9136387e-06,LOW,False
