feature,importance
humid_streak,0.00045745654162854255
suppress_alert,0.000182982616651417
dry_to_wet_trigger,0.0
temp_optimal_red_rot,0.0
cold_stress,0.0
heat_stress,0.0
crop_age_days,0.0
red_rot_risk_composite,0.0
T2M_MAX,-0.000182982616651417
temp_lag_3,-0.0002744739249771255
month,-0.00045745654162854255
high_humidity,-0.000548947849954251
temp_mean_7d,-0.0006404391582799596
T2M_MIN,-0.0006404391582799596
temp_range,-0.0006404391582799596
temp_lag_2,-0.0006404391582799596
temp_lag_7,-0.0008234217749313766
temp_mean_14d,-0.0008234217749313766
dry_spell_7d,-0.0008234217749313766
temp_mean_3d,-0.0009149130832570851
temp_lag_1,-0.0009149130832570851
wet_streak,-0.0009149130832570851
rh_lag_3,-0.0009149130832570851
T2M,-0.001097895699908502
rh_lag_7,-0.0012808783165599192
WS10M,-0.0013723696248856276
sin_day,-0.0017383348581884617
week,-0.0019213174748398786
is_rainy,-0.002104300091491296
moisture_stress,-0.002104300091491296
rh_lag_1,-0.0022872827081427127
rh_lag_2,-0.0023787740164684214
dayofyear,-0.0023787740164684214
wind_3d,-0.0024702653247941518
fungal_risk,-0.0026532479414455466
rh_3d,-0.002927721866422672
cos_day,-0.0029277218664226943
rain_lag_7,-0.003019213174748403
rh_7d,-0.00320219579139982
RH2M,-0.0033851784080512594
rain_14d,-0.0033851784080512594
PRECTOTCORR,-0.0035681610247026985
rain_lag_3,-0.0036596523330284293
rain_lag_1,-0.00375114364135416
rain_7d,-0.003842634949679846
rain_lag_2,-0.003934126258005577
rain_3d,-0.004025617566331285
