feature,lag,corr
RH2M,0,0.2187183742440799
RH2M,1,0.2069172886507995
RH2M,3,0.19379081574544918
RH2M,5,0.18770120505983431
fungal_risk,0,0.31887655650324553
fungal_risk,1,0.29127999561013007
fungal_risk,3,0.2652955558297732
fungal_risk,5,0.2279474686123888
moisture_stress,0,0.32312865239171573
moisture_stress,1,0.2718431858000528
moisture_stress,3,0.20082486457715493
moisture_stress,5,0.15610073195749738
T2M_MAX,0,0.05642857004341295
T2M_MAX,1,0.06399594691737359
T2M_MAX,3,0.07540158155958644
T2M_MAX,5,0.07805864095279617
